service_id,date,exception_type
1,20211225,2
1,20220101,2
1,20220424,2
1,20220612,2
2,20220502,2
2,20220503,2
2,20220504,2
2,20220505,2
2,20220506,2
2,20220509,2
2,20220510,2
2,20220511,2
2,20220512,2
2,20220513,2
2,20220516,2
2,20220517,2
2,20220518,2
2,20220519,2
2,20220520,2
2,20220523,2
2,20220524,2
2,20220525,2
2,20220526,2
2,20220527,2
2,20220606,2
2,20220607,2
2,20220608,2
2,20220609,2
2,20220610,2
2,20220620,2
2,20220621,2
2,20220622,2
2,20220623,2
2,20220624,2
4,20220124,2
4,20220422,2
4,20220425,2
4,20220601,2
4,20220613,2
4,20220814,2
4,20220815,2
4,20221130,2
4,20221201,2
5,20211223,2
5,20211224,2
5,20211227,2
5,20211228,2
5,20211229,2
5,20211230,2
5,20211231,2
5,20220103,2
5,20220104,2
5,20220105,2
5,20220106,2
5,20220107,2
5,20220124,2
5,20220415,2
5,20220418,2
5,20220419,2
5,20220420,2
5,20220421,2
5,20220422,2
5,20220425,2
5,20220426,2
5,20220427,2
5,20220428,2
5,20220429,2
5,20220601,2
5,20220613,2
5,20220614,2
5,20220615,2
5,20220616,2
5,20220617,2
5,20220620,2
5,20220621,2
5,20220622,2
5,20220623,2
5,20220624,2
5,20220627,2
5,20220628,2
5,20220629,2
5,20220630,2
5,20220701,2
5,20220704,2
5,20220705,2
5,20220706,2
5,20220707,2
5,20220708,2
5,20220711,2
5,20220712,2
5,20220713,2
5,20220714,2
5,20220715,2
5,20220718,2
5,20220719,2
5,20220720,2
5,20220721,2
5,20220722,2
5,20220725,2
5,20220726,2
5,20220727,2
5,20220728,2
5,20220729,2
5,20220801,2
5,20220802,2
5,20220803,2
5,20220804,2
5,20220805,2
5,20220808,2
5,20220809,2
5,20220810,2
5,20220811,2
5,20220812,2
5,20220815,2
5,20220816,2
5,20220817,2
5,20220818,2
5,20220819,2
5,20220822,2
5,20220823,2
5,20220824,2
5,20220825,2
5,20220826,2
5,20220829,2
5,20220830,2
5,20220831,2
5,20220901,2
5,20220902,2
5,20220905,2
5,20220906,2
5,20220907,2
5,20220908,2
5,20220909,2
5,20221130,2
5,20221201,2
6,20211223,2
6,20211224,2
6,20211227,2
6,20211228,2
6,20211229,2
6,20211230,2
6,20211231,2
6,20220103,2
6,20220104,2
6,20220105,2
6,20220106,2
6,20220107,2
6,20220124,2
6,20220415,2
6,20220418,2
6,20220419,2
6,20220420,2
6,20220421,2
6,20220422,2
6,20220425,2
6,20220426,2
6,20220427,2
6,20220428,2
6,20220429,2
6,20220601,2
6,20220613,2
6,20220614,2
6,20220615,2
6,20220616,2
6,20220617,2
6,20220620,2
6,20220621,2
6,20220622,2
6,20220623,2
6,20220624,2
6,20220627,2
6,20220628,2
6,20220629,2
6,20220630,2
6,20220701,2
6,20220704,2
6,20220705,2
6,20220706,2
6,20220707,2
6,20220708,2
6,20220711,2
6,20220712,2
6,20220713,2
6,20220714,2
6,20220715,2
6,20220718,2
6,20220719,2
6,20220720,2
6,20220721,2
6,20220722,2
6,20220725,2
6,20220726,2
6,20220727,2
6,20220728,2
6,20220729,2
6,20220801,2
6,20220802,2
6,20220803,2
6,20220804,2
6,20220805,2
6,20220808,2
6,20220809,2
